retention_volume_mL,molecular_weight_g/mol,peak,gene,replicate
7.859195709,1173809,0,pplu,1
7.861528873,1165197.25,0,pplu,1
7.863862038,1160890.625,0,pplu,1
7.866195202,1155751,0,pplu,1
7.868528366,1154932.125,0,pplu,1
7.87086153,1151154.5,0,pplu,1
7.873194695,1146397,0,pplu,1
7.875527859,1150780.875,0,pplu,1
7.877861023,1161092.75,0,pplu,1
7.880194187,1163294.75,0,pplu,1
7.882527351,1171821.25,0,pplu,1
7.884860516,1170867.375,0,pplu,1
7.88719368,1162498.375,0,pplu,1
7.889526844,1152855.25,0,pplu,1
7.891860008,1136316.375,0,pplu,1
7.894193172,1122795.125,0,pplu,1
7.896526337,1119637.25,0,pplu,1
7.898859501,1121847.125,0,pplu,1
7.901192665,1120542.625,0,pplu,1
7.903525829,1125565.25,0,pplu,1
7.905858994,1118077.875,0,pplu,1
7.908192158,1118471.625,0,pplu,1
7.910525322,1115885.5,0,pplu,1
7.912858486,1110569.375,0,pplu,1
7.91519165,1096912.625,0,pplu,1
7.917524815,1089878.625,0,pplu,1
7.919857979,1087924.75,0,pplu,1
7.922191143,1077999.625,0,pplu,1
7.924524307,1065576.25,0,pplu,1
7.926857471,1055598.125,0,pplu,1
7.929190636,1056417.875,0,pplu,1
7.9315238,1065255.375,0,pplu,1
7.933856964,1070074.5,0,pplu,1
7.936190128,1068764.375,0,pplu,1
7.938523293,1070895.625,0,pplu,1
7.940856457,1070708.625,0,pplu,1
7.943189621,1065344,0,pplu,1
7.945522785,1063933.75,0,pplu,1
7.947855949,1054376.125,0,pplu,1
7.950189114,1037652.125,0,pplu,1
7.952522278,1036584.375,0,pplu,1
7.954855442,1038291.125,0,pplu,1
7.957188606,1041133.25,0,pplu,1
7.95952177,1048025.813,0,pplu,1
7.961854935,1053889.5,0,pplu,1
7.964188099,1061991.75,0,pplu,1
7.966521263,1071079.875,0,pplu,1
7.968854427,1079953,0,pplu,1
7.971187592,1076359,0,pplu,1
7.973520756,1079992.375,0,pplu,1
7.97585392,1077957.125,0,pplu,1
7.978187084,1070056.625,0,pplu,1
7.980520248,1063483.75,0,pplu,1
7.982853413,1065598.375,0,pplu,1
7.985186577,1065935.875,0,pplu,1
7.987519741,1066119.25,0,pplu,1
7.989852905,1071760.125,0,pplu,1
7.992186069,1073069,0,pplu,1
7.994519234,1079778.25,0,pplu,1
7.996852398,1083661,0,pplu,1
7.999185562,1086034.625,0,pplu,1
8.00151825,1084253.25,0,pplu,1
8.003851891,1079206.625,0,pplu,1
8.006184578,1079963.25,0,pplu,1
8.008518219,1079200.875,0,pplu,1
8.010850906,1073965.625,0,pplu,1
8.013184547,1066869.5,0,pplu,1
8.015517235,1065655.5,0,pplu,1
8.017850876,1063625.375,0,pplu,1
8.020183563,1057272.875,0,pplu,1
8.022517204,1049378.375,0,pplu,1
8.024849892,1054477.875,0,pplu,1
8.027183533,1054792,0,pplu,1
8.02951622,1041350.688,0,pplu,1
8.031849861,1040711.688,0,pplu,1
8.034182549,1032232.813,0,pplu,1
8.03651619,1019089.563,0,pplu,1
8.038848877,1010321.313,0,pplu,1
8.041182518,1003091.625,0,pplu,1
8.043515205,1002931.75,0,pplu,1
8.045848846,1002211.813,0,pplu,1
8.048181534,1005363,0,pplu,1
8.050515175,1008746.688,0,pplu,1
8.052847862,1011815.5,0,pplu,1
8.055181503,1004068.063,0,pplu,1
8.057514191,998778.8125,0,pplu,1
8.059847832,1000522.563,0,pplu,1
8.062180519,1001768.813,0,pplu,1
8.06451416,1002390.5,0,pplu,1
8.066846848,1001347.563,0,pplu,1
8.069180489,1001504.688,0,pplu,1
8.071513176,994260.125,0,pplu,1
8.073846817,995370,0,pplu,1
8.076179504,1002320,0,pplu,1
8.078513145,997687.875,0,pplu,1
8.080845833,995266.0625,0,pplu,1
8.083179474,986627.375,0,pplu,1
8.085512161,976243.5,0,pplu,1
8.087845802,961810,0,pplu,1
8.09017849,953423.25,0,pplu,1
8.092512131,934336.4375,0,pplu,1
8.094844818,922526.4375,0,pplu,1
8.097178459,909583.125,0,pplu,1
8.099511147,893351.0625,0,pplu,1
8.101844788,893194.1875,0,pplu,1
8.104177475,893324.875,0,pplu,1
8.106511116,890833.9375,0,pplu,1
8.108843803,884793.8125,0,pplu,1
8.111177444,883281.625,0,pplu,1
8.113510132,884940.625,0,pplu,1
