,time,gene,well,fluorescence,fluorescence_normed
389,19450,cgre,D1,12012.0,0.9405684754521964
390,19500,cgre,D1,11629.0,0.9105786547647012
391,19550,cgre,D1,11974.0,0.937592984104612
392,19600,cgre,D1,11873.0,0.9296844413123483
393,19650,cgre,D1,12032.0,0.9421345235298724
394,19700,cgre,D1,11818.0,0.9253778090987393
395,19750,cgre,D1,11843.0,0.9273353691958343
396,19800,cgre,D1,11762.0,0.9209928744812466
397,19850,cgre,D1,11885.0,0.9306240701589539
398,19900,cgre,D1,11824.0,0.9258476235220421
399,19950,cgre,D1,12101.0,0.9475373893978545
400,20000,cgre,D1,11912.0,0.9327382350638165
401,20050,cgre,D1,11716.0,0.9173909639025918
402,20100,cgre,D1,11770.0,0.921619293712317
403,20150,cgre,D1,11920.0,0.9333646542948869
404,20200,cgre,D1,11881.0,0.9303108605434187
405,20250,cgre,D1,11823.0,0.9257693211181584
406,20300,cgre,D1,11692.0,0.9155117062093806
407,20350,cgre,D1,11711.0,0.9169994518831728
408,20400,cgre,D1,11806.0,0.9244381802521338
409,20450,cgre,D1,11887.0,0.9307806749667215
410,20500,cgre,D1,11982.0,0.9382194033356824
411,20550,cgre,D1,11867.0,0.9292146268890455
412,20600,cgre,D1,12147.0,0.9511392999765093
413,20650,cgre,D1,11809.0,0.9246730874637852
414,20700,cgre,D1,11885.0,0.9306240701589539
415,20750,cgre,D1,11953.0,0.9359486336230523
416,20800,cgre,D1,11959.0,0.936418448046355
417,20850,cgre,D1,12124.0,0.9493383446871819
418,20900,cgre,D1,11611.0,0.9091692114947929
419,20950,cgre,D1,11679.0,0.9144937749588913
420,21000,cgre,D1,12007.0,0.9401769634327773
421,21050,cgre,D1,11603.0,0.9085427922637225
422,21100,cgre,D1,11658.0,0.9128494244773314
423,21150,cgre,D1,11881.0,0.9303108605434187
424,21200,cgre,D1,11859.0,0.9285882076579751
425,21250,cgre,D1,12060.0,0.9443269908386187
426,21300,cgre,D1,11960.0,0.9364967504502388
427,21350,cgre,D1,11596.0,0.9079946754365359
428,21400,cgre,D1,11570.0,0.9059588129355571
429,21450,cgre,D1,12118.0,0.9488685302638791
430,21500,cgre,D1,11894.0,0.931328791793908
431,21550,cgre,D1,12054.0,0.943857176415316
432,21600,cgre,D1,12160.0,0.9521572312269987
433,21650,cgre,D1,11895.0,0.9314070941977919
434,21700,cgre,D1,11840.0,0.9271004619841829
435,21750,cgre,D1,11941.0,0.9350090047764467
436,21800,cgre,D1,12025.0,0.9415864067026858
437,21850,cgre,D1,12188.0,0.954349698535745
